,Unnamed: 0,id,fname,lname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",year
25,25,25,Alexander,Serebrenik,"GreaterAfrican,Muslim",0.0006908356,0.003397968,0.004754403,0.028007304,0.26962632,0.0107165305,0.24828553,0.18161975,0.008099484,0.009865411,0.010245679,0.017293893,0.20739688,2000
26,26,26,Paul,Aoki,"Asian,GreaterEastAsian,Japanese",0.012923721,0.9365405,0.0029201314,0.013117585,0.0018053339,0.017140932,0.00038640195,0.0016986582,0.0068558566,5.1218238e-05,0.006176494,0.00031637884,6.678564e-05,2000
27,27,27,Ian,Smith,"GreaterEuropean,British",0.0025730792,0.0041091386,0.0022330591,0.0053758896,0.0028027182,0.93060255,0.0009448234,0.015394839,0.015283785,0.0019486102,0.012589142,0.003485974,0.0026564354,2000
28,28,28,James,Thornton,"GreaterEuropean,British",0.0015070034,0.0010853778,0.00030172925,0.0008381493,0.00013912735,0.9802127,0.00021337898,0.0027172926,0.0059868386,0.00035633828,0.003377044,0.0015953336,0.0016696724,2000
29,29,29,Raj,Gopalan,"Asian,IndianSubContinent",0.00014748961,0.00014029122,0.98828155,0.000253225,0.0043643815,0.0013177444,0.00089703745,0.00095740077,0.00040186002,5.0458042e-05,0.0028975867,0.00025321826,3.7723235e-05,2000
30,30,30,Tariq,Nuruddin,"GreaterAfrican,Muslim",7.510524e-05,0.00011699481,0.14638552,0.0070542106,0.80188745,0.0077386326,0.00511915,0.0011396123,0.00998951,0.0005136917,0.0025514022,0.014716131,0.0027125832,2000
31,31,31,Yudho,Sucahyo,"GreaterAfrican,Africans",0.02510321,0.012187212,0.008356034,0.45630342,0.018437844,0.099664204,0.0076782857,0.058112457,0.06717112,0.000888216,0.20792903,0.037755996,0.00041302197,2000
32,32,32,John,Horrigan,"GreaterEuropean,British",0.0009770903,0.0008157941,0.0015532183,0.0006444385,0.0042344844,0.9444328,0.00094910566,0.017976658,0.015268792,0.00065056566,0.00856978,0.0035873642,0.00033992686,2000
33,33,33,N.,Sarda,"GreaterEuropean,WestEuropean,Hispanic",0.00739682,0.007701965,0.018540055,0.01757873,0.020990776,0.023831526,0.015265869,0.05561653,0.043635,0.007721366,0.7050964,0.0637402,0.012884822,2000
34,34,34,Sara,Cohen,"GreaterEuropean,Jewish",0.004059386,0.00081830134,0.001078277,0.004908072,0.014195232,0.05880776,0.008702151,0.87006986,0.021187628,0.006380244,0.003977694,0.0036498762,0.0021655923,2000
35,35,35,Yaron,Kanza,"Asian,GreaterEastAsian,Japanese",0.0033652892,0.2138641,0.025574885,0.15136437,0.13276994,0.04169061,0.028156249,0.19032416,0.07940662,0.02853759,0.049333442,0.052861787,0.0027509239,2000
36,36,36,Yakov,Kogan,"GreaterEuropean,Jewish",0.006485705,0.009269369,0.030732099,0.052153878,0.054867953,0.04433034,0.10061296,0.6190078,0.01975081,0.006071222,0.0106333345,0.014115132,0.031969357,2000
37,37,37,Werner,Nutt,"GreaterEuropean,British",0.0042367317,0.0048842602,0.023392044,0.009443482,0.120214336,0.6980222,0.0088940635,0.06760664,0.013611569,0.0028670796,0.023052303,0.019600483,0.0041748956,2000
38,38,38,Yehoshua,Sagiv,"GreaterEuropean,Jewish",0.0006668316,0.0009157051,0.022532742,0.011508447,0.10202663,0.03629778,0.0874746,0.6368498,0.018289806,0.000999161,0.058669742,0.019027865,0.004740937,2000
39,39,39,Alexander,Serebrenik,"GreaterAfrican,Muslim",0.0006908356,0.003397968,0.004754403,0.028007304,0.26962632,0.0107165305,0.24828553,0.18161975,0.008099484,0.009865411,0.010245679,0.017293893,0.20739688,2000
40,40,40,N.,Sarda,"GreaterEuropean,WestEuropean,Hispanic",0.00739682,0.007701965,0.018540055,0.01757873,0.020990776,0.023831526,0.015265869,0.05561653,0.043635,0.007721366,0.7050964,0.0637402,0.012884822,2000
41,41,41,Ankur,Jain,"Asian,IndianSubContinent",0.0031798922,0.0021918041,0.7662737,0.0027762756,0.030720579,0.08955505,0.0029518767,0.009174003,0.082191795,0.0006603345,0.0027781576,0.005836303,0.001710161,2000
42,42,42,D.,Quock,"GreaterEuropean,British",0.027332032,0.00362018,0.006540851,0.0029323038,0.00044763746,0.89209,0.0029046382,0.012720794,0.04148377,0.0018320277,0.00300375,0.0035323699,0.0015596236,2000
43,43,43,F.,Munson,"GreaterEuropean,British",0.007614403,0.0019585725,0.0009662508,0.002419039,0.0002879512,0.9505745,0.00031719948,0.0046857726,0.012682572,0.0010303614,0.0110307215,0.0034941894,0.0029384247,2000
44,44,44,K.,Eder,"GreaterEuropean,British",0.017508041,0.0029004493,0.022247156,0.014975285,0.116319336,0.42986098,0.02578904,0.14561898,0.07857938,0.061992094,0.030421743,0.01152909,0.04225843,2000
45,45,45,S.,Dean,"GreaterEuropean,British",0.0027004792,0.0017427518,0.00610552,0.0028612965,0.0006275112,0.9584679,0.0015544574,0.0052884114,0.0081378985,0.0006438154,0.0069073914,0.0030991975,0.0018633361,2000
46,46,46,Robert,Soliday,"GreaterEuropean,British",0.0146443695,0.0037239206,0.06506756,0.039907638,0.17325822,0.27882874,0.028252365,0.089205295,0.20276316,0.005685029,0.07244659,0.014979875,0.011237235,2000
47,47,47,Satyanarayana,Valluri,"GreaterEuropean,WestEuropean,Italian",0.0002416347,0.00032093193,0.030895837,0.0034974597,0.0042092875,0.0134631945,0.003265212,0.0037767845,0.020568332,0.0031201085,0.08096069,0.8345991,0.0010815134,2000
48,48,48,Soujanya,Vadapalli,"Asian,IndianSubContinent",0.00070411945,0.0002933007,0.85351396,0.004412141,0.0034778346,0.009094997,0.0009479355,0.004653952,0.007019515,0.0010803435,0.01583576,0.09848927,0.0004768042,2000
49,49,49,Kamalakar,Karlapalem,"Asian,IndianSubContinent",0.002395577,0.00046044888,0.3417124,0.039212335,0.22279862,0.027776131,0.22052959,0.049810573,0.05415654,0.0064830203,0.005581486,0.004376697,0.024706636,2000
50,50,50,Jan,Bussche,"GreaterEuropean,WestEuropean,French",0.009241846,0.0009186382,0.0003091166,0.051087294,0.0053071287,0.15636094,0.05020464,0.031456824,0.44242358,0.0553686,0.078796916,0.08014301,0.03838143,2000
51,51,51,Stijn,Vansummeren,"GreaterEuropean,British",0.010318717,0.022028625,0.010241717,0.006035049,0.0009376764,0.33016557,0.0022785724,0.014191573,0.06301584,0.14884992,0.19338469,0.06734054,0.13121146,2000
52,52,52,Gottfried,Vossen,"GreaterEuropean,WestEuropean,Nordic",0.00420517,0.0063577034,0.00013673569,0.008857928,0.0031283135,0.11268833,0.06357287,0.1065453,0.031760283,0.15930346,0.012779878,0.011351746,0.47931233,2000
53,53,53,Jan,Chomicki,"GreaterEuropean,British",0.008314269,0.027476916,0.04444784,0.034740735,0.0034899747,0.4957488,0.030214256,0.08455432,0.12265011,0.022049442,0.08902487,0.03552844,0.0017600878,2000
54,54,54,Jerzy,Marcinkowski,"GreaterEuropean,British",0.0016905772,0.0027577134,0.018769322,0.002452576,0.0076397816,0.46559766,0.032118287,0.21508014,0.096212685,0.08856423,0.026504777,0.040936522,0.0016757055,2000
55,55,55,Christoph,Koch,"GreaterEuropean,Jewish",0.0062689134,0.002086768,0.022157965,0.0123748,0.053671673,0.19541118,0.15600134,0.3187817,0.025015341,0.09480306,0.024845803,0.0071724206,0.08140897,2000
56,56,56,Jan,Chomicki,"GreaterEuropean,British",0.008314269,0.027476916,0.04444784,0.034740735,0.0034899747,0.4957488,0.030214256,0.08455432,0.12265011,0.022049442,0.08902487,0.03552844,0.0017600878,2000
57,57,57,Marcelo,Arenas,"GreaterEuropean,WestEuropean,Hispanic",0.0011363333,0.0027451843,0.012419005,0.008106233,0.0042222077,0.025839947,0.00094437506,0.017919805,0.041664507,0.002082931,0.87261456,0.009962334,0.00034255456,2000
58,58,58,Leopoldo,Bertossi,"GreaterEuropean,WestEuropean,Italian",0.00018643583,0.001729358,0.0004150829,0.0027515485,0.008955528,0.046480346,0.0022364396,0.012172701,0.059619885,0.0047966675,0.17252153,0.687859,0.00027544695,2000
59,59,59,Jan,Chomicki,"GreaterEuropean,British",0.008314269,0.027476916,0.04444784,0.034740735,0.0034899747,0.4957488,0.030214256,0.08455432,0.12265011,0.022049442,0.08902487,0.03552844,0.0017600878,2000
60,60,60,Georg,Gottlob,"GreaterEuropean,Jewish",0.0011959318,0.0007453842,0.0041052587,0.0036858942,0.0060437275,0.18873644,0.031546477,0.7212716,0.027406532,0.005714525,0.006270243,0.001500581,0.0017774152,2000
61,61,61,Christoph,Koch,"GreaterEuropean,Jewish",0.0062689134,0.002086768,0.022157965,0.0123748,0.053671673,0.19541118,0.15600134,0.3187817,0.025015341,0.09480306,0.024845803,0.0071724206,0.08140897,2000
62,62,62,Jan,Chomicki,"GreaterEuropean,British",0.00831427,0.02747692,0.044447877,0.03474074,0.0034899735,0.4957486,0.03021428,0.08455435,0.12265011,0.02204945,0.08902488,0.035528447,0.0017600881,2000
63,63,63,Jerzy,Marcinkowski,"GreaterEuropean,British",0.0016905766,0.0027577134,0.018769339,0.0024525772,0.007639778,0.46559745,0.03211835,0.21508011,0.09621271,0.08856434,0.02650478,0.040936515,0.0016757032,2000
64,64,64,Jan,Chomicki,"GreaterEuropean,British",0.008314269,0.027476916,0.04444784,0.034740735,0.0034899747,0.4957488,0.030214256,0.08455432,0.12265011,0.022049442,0.08902487,0.03552844,0.0017600878,2000
65,65,65,Sofie,Haesevoets,"GreaterEuropean,EastEuropean",0.00058420945,0.023646278,0.008156012,0.017436607,0.046219397,0.023854325,0.27872923,0.19993198,0.0420985,0.074971594,0.009639576,0.13775481,0.13697748,2000
66,66,66,Bart,Kuijpers,"GreaterEuropean,British",0.01920763,0.064423285,0.23648699,0.0037736264,0.0036387995,0.43899,0.017587738,0.069540374,0.016906891,0.08426451,0.03683867,0.0075645796,0.0007768796,2000
67,67,67,Peter,Revesz,"GreaterEuropean,WestEuropean,Hispanic",0.0043454235,0.011996006,0.07705782,0.011103648,0.009288775,0.06814046,0.1744446,0.0733572,0.12827276,0.006358478,0.40519297,0.02922759,0.0012142302,2000
68,68,68,Asuman,Dogac,"GreaterEuropean,British",0.0052874167,0.0055786152,0.0035484212,0.0047026323,0.0014946536,0.58637273,0.02339433,0.077655844,0.24441415,0.005147787,0.028150044,0.013755922,0.00049741147,2000
69,69,69,Gokce,Laleci,"GreaterEuropean,WestEuropean,Italian",0.00053272926,0.0005712972,0.003120575,0.05428549,0.02519808,0.0114788385,0.0046689548,0.069488086,0.10345017,0.009888951,0.26910022,0.43657976,0.011636773,2000
70,70,70,Yildiray,Kabak,"GreaterAfrican,Muslim",0.008457008,0.0054897866,0.10160662,0.054912906,0.51734036,0.01137309,0.032418195,0.21917465,0.024110785,0.00483719,0.0033719628,0.001802586,0.015104867,2000
71,71,71,Ibrahim,Cingil,"GreaterAfrican,Muslim",0.0046094535,0.008570202,0.17277755,0.029661817,0.38690498,0.055860583,0.060441352,0.053607203,0.05913364,0.0072236503,0.13405938,0.016605446,0.010544748,2000
72,72,72,Asuman,Dogac,"GreaterEuropean,British",0.0052874167,0.0055786152,0.0035484212,0.0047026323,0.0014946536,0.58637273,0.02339433,0.077655844,0.24441415,0.005147787,0.028150044,0.013755922,0.00049741147,2000
73,73,73,Ibrahim,Cingil,"GreaterAfrican,Muslim",0.0046094535,0.008570202,0.17277755,0.029661817,0.38690498,0.055860583,0.060441352,0.053607203,0.05913364,0.0072236503,0.13405938,0.016605446,0.010544748,2000
74,74,74,Gokce,Laleci,"GreaterEuropean,WestEuropean,Italian",0.00053272926,0.0005712972,0.003120575,0.05428549,0.02519808,0.0114788385,0.0046689548,0.069488086,0.10345017,0.009888951,0.26910022,0.43657976,0.011636773,2000
75,75,75,Yildiray,Kabak,"GreaterAfrican,Muslim",0.008457008,0.0054897866,0.10160662,0.054912906,0.51734036,0.01137309,0.032418195,0.21917465,0.024110785,0.00483719,0.0033719628,0.001802586,0.015104867,2000
76,76,76,Qingguo,Zheng,"Asian,GreaterEastAsian,EastAsian",0.99928063,1.7194105e-05,4.8078305e-06,7.431527e-05,3.318596e-05,9.89059e-05,5.7708745e-05,1.6032202e-05,0.00015282643,2.4997134e-06,1.5022086e-05,1.9285779e-05,0.00022754159,2000
77,77,77,Millist,Vincent,"GreaterEuropean,British",0.0021508117,0.0019524305,0.012175101,0.0033403533,0.003658668,0.54220945,0.0050208955,0.011947067,0.3204836,0.003744409,0.060792893,0.026365759,0.006158545,2000
78,78,78,Jixue,Liu,"Asian,GreaterEastAsian,EastAsian",0.9852519,0.0033176625,0.0003551957,0.0013382427,0.0003930018,0.0011191987,0.00055650354,0.00040219515,0.00031266655,0.00017448247,0.00021013252,0.005909662,0.00065915723,2000
79,79,79,Nancy,Bercich,"GreaterEuropean,WestEuropean,Italian",0.010128235,0.018386545,0.0037124825,0.008376639,0.031557802,0.10875304,0.1669016,0.09189472,0.061650436,0.07160165,0.08939354,0.28170946,0.05593386,2000
80,80,80,A.,Amorim,"GreaterEuropean,WestEuropean,Hispanic",0.007954828,0.053270083,0.05823193,0.073506914,0.07306484,0.047354702,0.027961241,0.18972662,0.036701966,0.0077677076,0.34557775,0.07032703,0.008554467,2000
81,81,81,J.,Lima,"GreaterEuropean,WestEuropean,Hispanic",0.0051527205,0.00053964084,0.000603554,0.02131885,0.0013724903,0.0010687457,0.00082296855,0.0022080163,0.01750837,0.00026727587,0.9324652,0.015179246,0.001492909,2000
82,82,82,C.,Oliveira,"GreaterEuropean,WestEuropean,Hispanic",0.0003880972,0.007799855,0.003032144,0.00983111,0.0014076056,0.005897892,0.0016140449,0.002722144,0.0011203184,0.00015035617,0.9601409,0.005320447,0.00057505415,2000
83,83,83,L.,Pedro,"GreaterEuropean,WestEuropean,Hispanic",0.0016498916,0.006798584,0.0119917225,0.0146564245,0.011303684,0.032753475,0.007550806,0.027211271,0.02107696,0.002973074,0.57518387,0.2864893,0.00036095918,2000
84,84,84,N.,Barros,"GreaterEuropean,WestEuropean,Hispanic",0.0012196063,0.008378759,0.0014309508,0.009610175,0.011724707,0.047546275,0.0030219432,0.03298833,0.03860403,0.0019362287,0.83483505,0.0076429285,0.00106099,2000
85,85,85,Julius,Hrivnac,"GreaterEuropean,EastEuropean",0.0010479908,0.000347343,0.013598975,0.015760185,0.0054584052,0.063244686,0.48007843,0.18632875,0.031054089,0.008979551,0.00971896,0.0038400777,0.18054259,2000
