,Unnamed: 0,Unnamed: 0.1,id,fname,lname,race,HL+A,HL+B,HL+I,HL+M,HL+O,HL+W,NL+A,NL+B,NL+I,NL+M,NL+O,NL+W,year,predRace
21,21,21,21,Yaron,Kanza,HL+O,1.6353493e-05,2.4208662e-09,3.9432102e-06,1.7282782e-05,0.37288508,0.20122544,0.035548302999999996,0.019214872,0.00022674879000000002,0.0050598886,0.32561237,0.040189695,2000,hispanic
22,22,22,22,Yakov,Kogan,NL+O,5.686510999999999e-13,2.6828404e-13,5.747502700000001e-15,6.608277e-10,0.033765987000000004,0.04331775400000001,0.12642257,0.07519290599999999,0.00039445498,0.021476675,0.66172755,0.03770207,2000,white
23,23,23,23,Werner,Nutt,NL+W,4.0581205e-11,1.1335952e-11,1.4423273000000001e-11,1.1022225e-07,0.003294925,0.052016303,0.0026800914,0.23901078,0.020701768,0.050224014000000004,0.036654558,0.59541744,2000,white
24,24,24,24,Yehoshua,Sagiv,NL+O,4.2153653000000003e-16,2.557141e-14,4.6762643e-09,1.5524125e-12,0.0069151465,0.005348596999999999,0.15461308,0.025399137000000002,0.0048072576,2.1275006e-05,0.7262274000000001,0.076668076,2000,white
25,25,25,25,Alexander,Serebrenik,HL+W,4.8412108e-11,0.0016480576999999999,3.2476994e-08,5.2739676e-07,0.12680829,0.5865688,0.009375979,0.02840917,1.5395766e-07,0.007747906999999999,0.14799754,0.09144363,2000,hispanic
26,26,26,26,Paul,Aoki,NL+A,2.4342373999999997e-19,2.02382e-12,3.2940168e-13,9.507098e-09,0.00018139901999999998,4.2671602999999995e-05,0.9770870999999999,0.0028240301,1.1730187000000002e-08,0.0004014719,0.0147802895,0.0046830205,2000,api
27,27,27,27,Ian,Smith,NL+M,0.00040041714,7.8165945e-09,5.729683999999999e-12,3.0364108e-05,7.444951999999999e-07,1.7299728e-05,1.9769574e-05,0.00032857788,2.9027203e-09,0.99705756,0.001929133,0.00021622566000000003,2000,white
28,28,28,28,James,Thornton,NL+I,6.5250405e-10,2.6304743e-09,5.323468000000001e-11,8.470004e-09,0.0001109375,0.00022408023999999997,0.00010517374,0.011927105,0.9772599000000001,3.0802796e-05,0.0027630755,0.007578899599999999,2000,white
29,29,29,29,Raj,Gopalan,NL+A,3.6029153e-12,6.2414544e-14,1.1887302e-11,6.7385224e-07,0.0010933045,0.00024567597,0.8509839,0.006190625999999999,0.020921501999999998,0.00017450817,0.10008602,0.020303814,2000,api
30,30,30,30,Tariq,Nuruddin,NL+O,3.2257067999999998e-12,4.2489505999999997e-07,8.44216e-11,9.660238000000002e-09,0.01596873,0.11942441,0.0711522,0.11536538,4.485378e-05,0.008360043000000001,0.3604945,0.30918944,2000,white
31,31,31,31,Yudho,Sucahyo,NL+O,2.9896097999999997e-15,8.0007106e-13,9.255641e-12,1.3466769e-12,0.004056583,0.0017037231,0.37606066,0.023191126,0.0013111842999999998,2.7883103999999997e-06,0.5603271,0.0333468,2000,white
32,32,32,32,John,Horrigan,HL+M,3.7359611999999996e-11,8.947586999999999e-11,4.0379313e-09,0.2935992,0.02967047,0.012578676,0.12765907,0.12502089,0.0011781659,0.01458191,0.12108605,0.27462554,2000,hispanic
33,33,33,33,N.,Sarda,HL+O,1.627179e-08,7.7554285e-10,1.2061471e-10,9.496937e-05,0.659238,0.042334292,0.029189773,0.0101202605,9.342931999999999e-06,5.0997246e-06,0.25038096,0.008627415,2000,hispanic
34,34,34,34,Sara,Cohen,HL+O,3.6890537000000004e-08,3.7710056000000004e-06,6.158913e-10,0.06514417,0.38045081,0.11838633,0.0053506535,0.10281471,6.0054134999999996e-06,0.012072158999999999,0.15248035,0.16329096,2000,hispanic
35,35,35,35,Yaron,Kanza,HL+O,1.6353493e-05,2.4208662e-09,3.9432102e-06,1.7282782e-05,0.37288508,0.20122544,0.035548302999999996,0.019214872,0.00022674879000000002,0.0050598886,0.32561237,0.040189695,2000,hispanic
36,36,36,36,Yakov,Kogan,NL+O,5.686510999999999e-13,2.6828404e-13,5.747502700000001e-15,6.608277e-10,0.033765987000000004,0.04331775400000001,0.12642257,0.07519290599999999,0.00039445498,0.021476675,0.66172755,0.03770207,2000,white
37,37,37,37,Werner,Nutt,NL+W,4.0581205e-11,1.1335952e-11,1.4423273000000001e-11,1.1022225e-07,0.003294925,0.052016303,0.0026800914,0.23901078,0.020701768,0.050224014000000004,0.036654558,0.59541744,2000,white
38,38,38,38,Yehoshua,Sagiv,NL+O,4.2153653000000003e-16,2.557141e-14,4.6762643e-09,1.5524125e-12,0.0069151465,0.005348596999999999,0.15461308,0.025399137000000002,0.0048072576,2.1275006e-05,0.7262274000000001,0.076668076,2000,white
39,39,39,39,Alexander,Serebrenik,HL+W,4.8412108e-11,0.0016480576999999999,3.2476994e-08,5.2739676e-07,0.12680829,0.5865688,0.009375979,0.02840917,1.5395766e-07,0.007747906999999999,0.14799754,0.09144363,2000,hispanic
40,40,40,40,N.,Sarda,HL+O,1.627179e-08,7.7554285e-10,1.2061471e-10,9.496937e-05,0.659238,0.042334292,0.029189773,0.0101202605,9.342931999999999e-06,5.0997246e-06,0.25038096,0.008627415,2000,hispanic
41,41,41,41,Ankur,Jain,NL+O,6.783394300000001e-15,4.144399e-08,6.948377e-08,1.9124445e-06,0.011413698,0.0052492917,0.1971984,0.18916121,0.016745515,0.01947215,0.477293,0.08346467,2000,white
42,42,42,42,D.,Quock,NL+O,4.8695553e-13,3.0203264e-12,4.0572819e-13,8.965248e-10,0.004794299,0.04180855,0.006756518,0.022712697999999996,0.0006282979,1.3315653999999999e-08,0.58816886,0.33513075,2000,white
43,43,43,43,F.,Munson,NL+O,4.33409e-10,6.952983e-12,1.1213553999999997e-12,0.00029034095,0.044618938,0.022320034,0.039668765,0.18368354,0.0020088567,0.2657994,0.34765026,0.093959875,2000,white
44,44,44,44,K.,Eder,NL+O,4.1213937000000004e-08,5.3193837000000004e-08,1.3070965e-10,0.0022313793,0.013442913,0.080224,0.03776201,0.2053928,0.0036563536,0.067580216,0.38321567,0.20649453,2000,white
45,45,45,45,S.,Dean,NL+A,7.5985704e-06,1.0492223e-08,2.1356023000000003e-11,9.9393865e-06,0.011763231,0.00019015858,0.8258139999999999,0.012197467,0.002264552,6.425699999999999e-05,0.13420478,0.013484006000000002,2000,api
46,46,46,46,Robert,Soliday,NL+W,6.712790000000001e-10,5.1921495e-07,5.3934119999999995e-11,0.002534014,0.036756657000000005,0.016489135,0.017028175,0.22193934,0.012194832,0.0032307903999999996,0.09938836,0.5904381,2000,white
47,47,47,47,Satyanarayana,Valluri,HL+O,2.7355795000000002e-11,4.6042947e-09,4.126755e-11,7.207561399999999e-05,0.6514857,0.06967399,0.055504918,0.0018670636,6.655626999999999e-07,0.00014031898000000002,0.21720248,0.0040528583,2000,hispanic
48,48,48,48,Soujanya,Vadapalli,NL+A,9.838024e-12,5.110659e-07,7.88251e-11,4.2726359999999996e-11,0.0019629432,0.00012428101999999999,0.53085214,0.008677285,1.1059076000000001e-06,4.712535e-05,0.44078368,0.017550938000000002,2000,api
