,Unnamed: 0,id,fname,lname,race,"Asian,GreaterEastAsian,EastAsian","Asian,GreaterEastAsian,Japanese","Asian,IndianSubContinent","GreaterAfrican,Africans","GreaterAfrican,Muslim","GreaterEuropean,British","GreaterEuropean,EastEuropean","GreaterEuropean,Jewish","GreaterEuropean,WestEuropean,French","GreaterEuropean,WestEuropean,Germanic","GreaterEuropean,WestEuropean,Hispanic","GreaterEuropean,WestEuropean,Italian","GreaterEuropean,WestEuropean,Nordic",year
24,24,24,Yehoshua,Sagiv,"GreaterEuropean,Jewish",1.6616797e-05,1.6951355e-05,0.00048052022,0.0012186152,0.053250775,0.0011227474,0.014353806,0.9202351,0.0044189165,0.00015641397,0.0004759138,0.004240639,1.3028701e-05,2000
25,25,25,Alexander,Serebrenik,"GreaterEuropean,EastEuropean",0.00027763724,0.0014479221,0.00044711118,0.0007656389,0.0026451005,0.02184485,0.91016614,0.04162546,0.0024814615,0.0028663704,0.0040653762,0.0025753689,0.008791464,2000
26,26,26,Paul,Aoki,"GreaterAfrican,Africans",0.046407532,0.28130767,0.013607199,0.43387815,0.002609448,0.14258376,0.020165592,0.0221819,0.009520569,0.006337398,0.007714728,0.00907397,0.004612145,2000
27,27,27,Ian,Smith,"GreaterEuropean,British",0.0016710272,0.0018385402,0.0013282616,0.0009699543,0.0011024195,0.96980035,0.00053568545,0.0076825917,0.0037794902,0.0011199034,0.004810518,0.0026571895,0.002704018,2000
28,28,28,James,Thornton,"GreaterEuropean,British",0.0070235636,0.0021264525,0.0038392786,0.0019309404,0.00039667694,0.94327474,0.001047986,0.008368994,0.020373717,0.000836559,0.0052573998,0.004061151,0.0014626096,2000
29,29,29,Raj,Gopalan,"Asian,IndianSubContinent",4.3490214e-05,1.4659335e-05,0.99131167,0.00039360885,0.0051553906,0.0020536496,0.00012700996,0.00025774658,0.00017166528,6.532597e-05,0.00028128613,5.0655148e-05,7.378065e-05,2000
30,30,30,Tariq,Nuruddin,"GreaterAfrican,Muslim",0.0010698914,0.00030347257,0.15021385,0.017360285,0.7357339,0.051461574,0.0048738564,0.0134484125,0.014822236,0.00094441493,0.0077874167,0.0013897169,0.0005909344,2000
31,31,31,Yudho,Sucahyo,"GreaterAfrican,Africans",0.005462417,0.023674173,0.079311214,0.82151115,0.0060061063,0.012824034,0.019338954,0.0035199216,0.008211857,0.0043056337,0.011493577,0.0028840902,0.0014568869,2000
32,32,32,John,Horrigan,"GreaterEuropean,British",0.007825929,0.0013899162,0.0024809074,0.00075400196,0.00021424709,0.95466167,0.0007104006,0.007448801,0.014983119,0.0017130878,0.0035772405,0.002660657,0.0015801139,2000
33,33,33,N.,Sarda,"Asian,IndianSubContinent",7.051963e-05,6.829296e-05,0.98291147,0.0023166586,0.00708134,0.0036315755,0.00049460266,0.0011825522,0.00066363194,0.00023149682,0.00077718805,0.0002585005,0.00031220986,2000
34,34,34,Sara,Cohen,"GreaterEuropean,Jewish",0.0015360564,0.0036153037,0.009950353,0.013474123,0.012677816,0.050232958,0.0088672405,0.86120397,0.0076402854,0.01455199,0.010929054,0.0037048643,0.0016160199,2000
35,35,35,Yaron,Kanza,"GreaterAfrican,Africans",0.0022667178,0.23800536,0.0100716455,0.25812566,0.013509347,0.01841659,0.019527704,0.25603864,0.06999344,0.00085664436,0.052311476,0.06059001,0.00028669386,2000
36,36,36,Yakov,Kogan,"GreaterEuropean,Jewish",0.00024273532,0.0018248901,0.0059743784,0.0010488711,0.008183178,0.007999769,0.37399116,0.59098625,0.0017008767,0.0011420894,0.0006095813,0.0056025055,0.00069377566,2000
37,37,37,Werner,Nutt,"GreaterEuropean,British",0.0047939788,0.0054146396,0.014728998,0.006959398,0.0037743738,0.77691317,0.01418641,0.033395473,0.031428598,0.04012824,0.02396974,0.022338586,0.021968372,2000
38,38,38,Yehoshua,Sagiv,"GreaterEuropean,Jewish",1.6616797e-05,1.6951355e-05,0.00048052022,0.0012186152,0.053250775,0.0011227474,0.014353806,0.9202351,0.0044189165,0.00015641397,0.0004759138,0.004240639,1.3028701e-05,2000
39,39,39,Alexander,Serebrenik,"GreaterEuropean,EastEuropean",0.00027763724,0.0014479221,0.00044711118,0.0007656389,0.0026451005,0.02184485,0.91016614,0.04162546,0.0024814615,0.0028663704,0.0040653762,0.0025753689,0.008791464,2000
40,40,40,N.,Sarda,"Asian,IndianSubContinent",7.051963e-05,6.829296e-05,0.98291147,0.0023166586,0.00708134,0.0036315755,0.00049460266,0.0011825522,0.00066363194,0.00023149682,0.00077718805,0.0002585005,0.00031220986,2000
41,41,41,Ankur,Jain,"Asian,IndianSubContinent",0.020765133,0.0015021069,0.8585791,0.0015446076,0.029412327,0.029104112,0.033427745,0.008491579,0.0027888617,0.007396679,0.0015288765,0.00141354,0.004045352,2000
42,42,42,D.,Quock,"GreaterEuropean,British",0.037227843,0.002655674,0.038610354,0.006588062,0.003870614,0.8243376,0.010410869,0.016536932,0.02241011,0.0029819773,0.011321743,0.017324314,0.0057238457,2000
43,43,43,F.,Munson,"GreaterEuropean,British",0.0017739142,0.00055718917,0.0045180833,0.01310239,0.0015726333,0.9187224,0.0012797189,0.013202421,0.021145312,0.004603938,0.0038128113,0.0051051914,0.010603912,2000
44,44,44,K.,Eder,"Asian,IndianSubContinent",0.0026393046,0.0023559101,0.8229674,0.004144123,0.042536456,0.086300276,0.003680141,0.0047767935,0.0061312467,0.007619959,0.005545198,0.0013263413,0.009976931,2000
45,45,45,S.,Dean,"GreaterEuropean,British",0.008705586,0.010063066,0.21966454,0.0029858036,0.011450941,0.5527811,0.056374095,0.06685219,0.026915528,0.009578008,0.018621119,0.012408199,0.0035998016,2000
46,46,46,Robert,Soliday,"GreaterEuropean,British",0.0060745403,0.0015486747,0.02113898,0.01211104,0.014471408,0.74812317,0.009010491,0.09943404,0.062400904,0.005262637,0.011081508,0.0045763305,0.0047662426,2000
47,47,47,Satyanarayana,Valluri,"Asian,IndianSubContinent",0.0001478967,1.449398e-05,0.9948861,0.00036563387,0.0035282285,0.0005196019,1.8038703e-05,3.045572e-05,6.2168605e-05,4.2012423e-05,0.00031527353,4.9701313e-05,2.0386915e-05,2000
48,48,48,Soujanya,Vadapalli,"Asian,IndianSubContinent",0.002032474,0.0005904221,0.89700264,0.039133497,0.017986434,0.013715379,0.0058834637,0.0046054157,0.0040247473,0.00096521876,0.0113399485,0.0021143365,0.00060599926,2000
49,49,49,Kamalakar,Karlapalem,"Asian,IndianSubContinent",0.0008692066,0.00020904731,0.9728913,0.0069940765,0.009685152,0.0020084912,0.0024294427,0.0013861054,0.00029844008,0.00094350363,0.0011190485,0.00052044727,0.0006457975,2000
50,50,50,Jan,Bussche,"GreaterEuropean,WestEuropean,Germanic",0.006695602,0.004018143,0.008331365,0.0020532513,0.004095192,0.06772152,0.30017653,0.058352552,0.020735407,0.3330535,0.011445827,0.02440195,0.15891914,2000
51,51,51,Stijn,Vansummeren,"GreaterEuropean,WestEuropean,Germanic",0.00018417997,8.274144e-05,0.0005797268,0.00014487699,9.392712e-05,0.016227935,0.002614204,0.01615155,0.004098241,0.8854186,0.0005080697,0.004556292,0.069339685,2000
52,52,52,Gottfried,Vossen,"GreaterEuropean,WestEuropean,Germanic",0.003819425,0.003350387,0.0005502303,0.00044798985,0.00034786007,0.010773167,0.020953326,0.025429549,0.0020936267,0.8553503,0.009378345,0.013830355,0.053675435,2000
53,53,53,Jan,Chomicki,"GreaterEuropean,EastEuropean",0.081850305,0.035882,0.0146325575,0.014794266,0.0045552645,0.30350024,0.4069702,0.062000465,0.013887297,0.019446936,0.009232633,0.025947182,0.007300732,2000
54,54,54,Jerzy,Marcinkowski,"GreaterEuropean,Jewish",0.00015142752,0.00051829737,0.0012415723,0.0018438977,0.0035157271,0.011381438,0.2779817,0.65105504,0.025171265,0.008439677,0.0033846418,0.013077899,0.0022374403,2000
55,55,55,Christoph,Koch,"GreaterEuropean,WestEuropean,Germanic",0.003355164,0.00051673973,0.0028224983,0.002766394,0.0006032972,0.017765194,0.18101993,0.04600656,0.004131538,0.7269638,0.0024344153,0.0025160841,0.009098381,2000
